GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DocAssist,hu.nye.docassist.configuration,ClientServiceConfiguration,3,0,0,0,1,0,1,0,1,0
DocAssist,hu.nye.docassist.service,ClientService,74,56,2,0,16,11,6,4,5,4
DocAssist,hu.nye.docassist.exception,GlobalExceptionHandler,76,0,2,0,17,0,8,0,7,0
DocAssist,hu.nye.docassist.exception,ClientNotFoundException,0,4,0,0,0,2,0,1,0,1
DocAssist,hu.nye.docassist.model,Client,3,0,0,0,1,0,1,0,1,0
DocAssist,hu.nye.docassist.request,ClientRequest,35,45,0,0,3,8,9,8,9,8
DocAssist,hu.nye.docassist.request,ClientRequest.ClientRequestBuilder,72,0,0,0,1,0,10,0,10,0
DocAssist,hu.nye.docassist.controller,WebUpdateController,97,0,0,0,27,0,4,0,4,0
DocAssist,hu.nye.docassist.controller,WebControllerList,54,0,0,0,15,0,4,0,4,0
DocAssist,hu.nye.docassist.controller,ClientController,110,0,0,0,29,0,8,0,8,0
DocAssist,hu.nye.docassist.controller,ExceptionHandlerController,4,0,0,0,2,0,2,0,2,0
DocAssist,hu.nye.docassist.controller,WebController,54,0,0,0,16,0,5,0,5,0
DocAssist,hu.nye.docassist.controller,FaviconController,20,0,0,0,4,0,2,0,2,0
DocAssist,hu.nye.docassist,Main,8,0,0,0,3,0,2,0,2,0
DocAssist,hu.nye.docassist.entity,ClientEntity,22,72,0,0,8,29,7,13,7,13
DocAssist,hu.nye.docassist.entity,ClientEntity.ClientEntityBuilder,18,63,0,0,0,1,1,10,1,10
